id;city;country;country_id;type_of_violence;event_UCDP_id;weapon/method;side_a;side_a_identity;side_a_gender;side_a_age;side_b;side_b_identity;side_b_gender;side_b_age;additional actors;cr_clarity;clarity_comment;sources;sources_original;date_start;date_end;date_precision;time;where;neighborhood/area;lattitude;longitude;geoprecision;deaths_a;deaths_b;deaths_other;deaths_unknown;deaths_best;deaths_high;deaths_low;deaths_gender;injuries_total;injuries_a;injuries_b;injuries_others;injuries_unknown;injuries_comment
BEL92020201_00;Belfast;United Kingdom ;200;assassination/murder;66700;gunfire;UDA/UFF;loyalist;unknown;unknown;civilians;Catholic;1 man ;52;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-02-02;1992-02-02;1;unknown;Rosemount Gardens, off Antrim Road, Belfast;;54,621114;-5,940129;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92020401_00;Belfast;United Kingdom ;200;attack;n/a;gunfire;RUC;security forces;2 men;unknown;CivPA, civilians;Catholic;3 men;40, 61, 24;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001); AFP, ""Terrorists kill three at Sinn Fein office,"" 4 February 1992";police;1992-02-04;1992-02-04;1;unknown;Sinn Fein Advice Centre, Sevastopol Street, Lower Falls, Belfast;;54,598323;-5,953406;1: exact location (e.g. street, building, square);0;3;0;0;3;3;3;3 men ;1;0;1;0;0;1 person injured
BEL92020501_00;Belfast;United Kingdom ;200;attack;66702;gunfire;UDA/UFF;loyalist;unknown;unknown;civilians;Catholic;4 men, 1 woman;18, 15, 52, 54, 66;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001); The Guardian, ""Loyalist Attack leaves 5 dead in Belfast,"" 6 February 1992";;1992-02-05;1992-02-05;1;unknown;Sean Graham´s Bookmaker´s Shop, Ormeau Road, Belfast;;54,5855;-5,922972;1: exact location (e.g. street, building, square);0;5;0;0;5;5;5;4 men, 1 woman;7;0;7;0;0;2 victims seriously injured
BEL92021701_00;Belfast;United Kingdom ;200;assassination/murder;n/a;gunfire;PLO ;republican;unknown;unknown;civilians;Protestant;1 man ;17;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-02-17;1992-02-17;1;unknown;Upper Crumlin Road, north Belfast;;54,629769;-5,973915;3: neighbourhood ;0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92021901_00;Belfast;United Kingdom ;200;attack;n/a;gunfire;loyalist;loyalist;unknown;unknown;civilians;Catholic;1 man;35;no;2: medium –circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence ;Exact perpetrator group unclear, thus event coded at CR4;"AFP, "" Catholic man shot in apparent loyalist revenge,"" 19 February 1992";;1992-02-19;1992-02-19;1;unknown;north Belfast;;54,640026;-5,927963;4: sub-city admin area;0;0;0;0;0;0;0;;1;0;1;0;0;1 man seriously wounded
BEL92022401_00;Belfast;United Kingdom ;200;assassination/murder;n/a;sharp instrument (knife);UVF;loyalist;unknown;unknown;civilians;Catholic;1 woman;26;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-02-24;1992-02-24;1;unknown;Ballarat Street, off Ravenhill Road, Belfast;;54,592123;-5,911794;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 woman;0;0;0;0;0;
BEL92031201_00;Belfast;United Kingdom ;200;assassination/murder;66703;gunfire;UDA/UFF;loyalist;unknown;unknown;civilians;Catholic;1 man ;32;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-03-12;1992-03-12;1;unknown;Alliance Avenue, Ardoyne, nort Belfast;;54,618693;-5,959335;3: neighbourhood ;0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92031801_00;Belfast;United Kingdom ;200;assassination/murder;n/a;without weapon/melee;F  Gang;republican;unknown;unknown;civilians;Catholic;1 boy;15;no;3: low –there is some reason to believe it is conflict-related, e.g. based on group identities, but no clear statements or evidence;perpetrator unknown, circumstances suggest conflict related event. Thus coded at CR3;"The Evening Standard, ""IRA link to boy´s murder,"" 26 March 1992";;1992-03-18;1992-03-18;1;unknown;New Lodge area, North Belfast;;54,610173;-5,932446;3: neighbourhood ;0;1;0;0;1;1;1;1 boy;0;0;0;0;0;
BEL92032401_00;Belfast;United Kingdom ;200;attack;n/a;explosives (car bomb);IRA;republican;unknown;unknown;civilians;unknown;unknown;unknown;police officers;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"AFP, ""Car-bomb blast injures eight, destroys 25 houses,"" 24 March 1992";police;1992-03-24;1992-03-24;1;02:00 a.m.;Donegall Pass district, south Belfast;;54,590014;-5,929737;3: neighbourhood ;0;0;0;0;0;0;0;;8;0;4;4;;4 police officers injured
BEL92041501_00;Belfast;United Kingdom ;200;assassination/murder;66501;gunfire;UDA/UFF;loyalist;unknown;unknown;UDA;Protestant;1 man ;46;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-04-15;1992-04-15;1;unknown;Grahams Bridge Road, Dundonald, Belfast;;54,589034;-5,798567;3: neighbourhood ;0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92042701_00;Belfast;United Kingdom ;200;attack;n/a;explosives (bomb);IRA;republican;unknown;unknown;British Army soldier;unknown;1 man;unknown;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"The Indepedent, ""Soldier and boy hurt in IRA ""coffee jar"" bomb attack,"" 28 April 1992";;1992-04-27;1992-04-27;1;04:00 p.m.;Oldpark area, north Belfast;;54,62969547;-5,967950824;3: neighbourhood ;0;0;0;0;0;0;0;;2;0;1;1;0;1 solider and 1 nine-year-old boy suffered minor injuries
BEL92042801_00;Belfast;United Kingdom ;200;assassination/murder;67286;gunfire;UDA/UFF;loyalist;unknown;unknown;civilians;Catholic;1 woman;26;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-04-28;1992-04-28;1;unknown;Springfield Road, Belfast;;54,59756;-5,976499;3: neighbourhood ;0;1;0;0;1;1;1;1 woman;0;0;0;0;0;
BEL92042901_00;Belfast;United Kingdom ;200;assassination/murder;n/a;gunfire;UVF;loyalist;unknown;unknown;PLO;Catholic;1 man ;22;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-04-29;1992-04-29;1;unknown;Ligionel Improvements Association, Conneywarren Lane, Ligioniel, Belfast;;54,629868;-5,977374;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92050501_00;Belfast;United Kingdom ;200;attack;n/a;gunfire;PLO ;republican;unknown;unknown;civilians;Protestant;1 man ;66;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-05-05;1992-05-05;1;unknown;Mount Inn, North Queen Street, Tiger´s Bay, Belfast;;54,612672;-5,926416;3: neighbourhood ;0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92060901_00;Belfast;United Kingdom ;200;attack;n/a;explosives (car bomb);IRA;republican;unknown;unknown;police officers;unknown;5 men;unknown;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"Reuters News, ""Five police hurt in IRA bomb blitz,"" 9 June 1992";police;1992-06-09;1992-06-09;1;unknown;north Belfast;;54,640027;-5,927964;4: sub-city admin area;0;0;0;0;0;0;0;;5;0;5;0;0;
BEL92061701_00;Belfast;United Kingdom ;200;attack;n/a;explosives (bomb);IRA;republican;unknown;unknown;police officers;unknown;7 men;unknown;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"Reuters News, ""Seven police hurt in Belfast bomb blast,"" 17 June 1992";police;1992-06-17;1992-06-17;1;unknown;Belfast city centre;;54,598994;-5,929425;3: neighbourhood ;0;0;0;0;0;0;0;;7;0;7;0;0;victims suffered minor injuries
BEL92062401_00;Belfast;United Kingdom ;200;attack;n/a;explosives (bomb);IRA;republican;unknown;unknown;police officers;unknown;1 man;unknown;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"AFP, "" Policeman hurt in Belfast bomb explosion, "" 24 June 1992";police;1992-06-24;1992-06-24;1;night;Belfast city centre;;54,598994;-5,929425;3: neighbourhood ;0;0;0;0;0;0;0;;1;0;1;0;0;victim suffered minor injuries
BEL92070501_00;Belfast;United Kingdom ;200;assassination/murder;n/a;without weapon/melee;loyalist;loyalist;unknown;unknown;civilians;Catholic;1 man ;35;;2: medium –circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence ;Exact perpetrator group unclear, thus event coded at CR5;"McKittrick (1999); Sutton (2001)";;1992-07-05;1992-07-05;1;unknown;North Howard Street, Lower Falls, Belfast;;54,601028;-5,949859;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92070801_00;Belfast;United Kingdom ;200;assassination/murder;67298;gunfire;UDA/UFF;loyalist;unknown;unknown;civilians;Catholic;1 man ;51;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-07-08;1992-07-08;1;unknown;Kerrsland Drive, Bloomfield, Belfast;;54,595069;-5,873102;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92080301_00;Belfast;United Kingdom ;200;assassination/murder;66438;gunfire;IRA;republican;unknown;unknown;British Army soldier;unknown;1 man ;24;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-08-03;1992-08-03;1;unknown;Duncairn Avenue, New Lodge, Belfast;;54,612344;-5,93702;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92081201_00;Belfast;United Kingdom ;200;assassination/murder;n/a;gunfire;IRA;republican;unknown;unknown;xIRA;Catholic;1 man ;22;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-08-12;1992-08-12;1;unknown;in entry of Beechmount Crescent, Falls, Belfast;;54,594667;-5,965215;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92081501_00;Belfast;United Kingdom ;200;attack;n/a;explosives (bomb);unknown;unknown;unknown;unknown;British Army soldiers;unknown;unknown;unknown;;2: medium –circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence ;Perpetrator unknown, but method and target strongly suggest conflict related event. Thus coded at CR2;"AFP, ""Four soldiers wounded in Belfast bomb attack,"" 15 August 1992";police;1992-08-15;1992-08-15;1;unknown;west Belfast;;54,640029;-5,927966;4: sub-city admin area;0;0;0;0;0;0;0;;4;0;4;0;0;2 victims seriously injured
BEL92081801_00;Belfast;United Kingdom ;200;assassination/murder;n/a;gunfire;IPLOBB;republican;unknown;unknown;PLO;Catholic;1 man ;36;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";police;1992-08-18;1992-08-18;1;unknown;Clonard Street, Lower Falls, Belfast;;54,597974;-5,95509;2: within a small radius of an exact location (e.g. “near the town hall”);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92082101_00;Belfast;United Kingdom ;200;assassination/murder;n/a;gunfire;IRA;republican;unknown;unknown;civilians;Catholic;1 woman;40;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-08-21;1992-08-21;1;unknown;junction of Ardoyne Avenue and Flax Street, Ardoyne, north Belfast;;54,614935;-5,956604;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 woman;0;0;0;0;0;
BEL92082501_00;Belfast;United Kingdom ;200;attack;n/a;gunfire;INLA;republican;unknown;unknown;civilians;Protestant;1 man;young;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"The Indepedent, ""Man shot in INLA attack,"" 25 August 1992";;1992-08-25;1992-08-25;1;unknown;Old Park Road, north Belfast;;54,617843;-5,954227;3: neighbourhood ;0;0;0;0;0;0;0;;1;0;1;0;0;
BEL92082502_00;Belfast;United Kingdom ;200;attack;n/a;explosives (bomb);unknown;unknown;unknown;unknown;British Army soldier;unknown;1 man;unknown;;2: medium –circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence ;Perpetrator unknown, but method and target strongly suggest conflict related event. Thus coded at CR2;"The Indepedent, ""Man shot in INLA attack,"" 25 August 1992";;1992-08-25;1992-08-25;1;unknown;Twinbrook, west Belfast;;54,554739;-6,024458;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;;1;0;1;0;0;
BEL92082701_00;Belfast;United Kingdom ;200;assassination/murder;n/a;gunfire;IPLOBB;republican;unknown;unknown;PLO;Catholic;1 man ;21;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001); Reuters News, ""3,000TH victim shot dead in Northern Ireland, "" 27 August 1992";police;1992-08-27;1992-08-27;1;unknown;Lamh Dearg GAA Club, Hannahstown, Belfast;;54,58248;-6,03003;3: neighbourhood ;0;1;0;0;1;1;1;1 man;2;0;0;2;0;two other men on team bus were wounded (collateral damage)
BEL92090401_00;Belfast;United Kingdom ;200;assassination/murder;n/a;gunfire;British Army;security forces;unknown;unknown;civilians;Catholic;1 man ;18;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-09-04;1992-09-04;1;unknown;Upper Meadow Street, New Lodge, Belfast;;54,613105;-5,933912;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92090501_00;Belfast;United Kingdom ;200;assassination/murder;n/a;gunfire;UVF;loyalist;unknown;unknown;civilians;Protestant;1 man ;29;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-09-05;1992-09-05;1;unknown;Solway Street, off Newtownards Road, Belfast;;54,600761;-5,898247;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92091101_00;Belfast;United Kingdom ;200;assassination/murder;n/a;gunfire;PLO ;republican;unknown;unknown;civilians;Catholic;1 man ;31;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-09-11;1992-09-11;1;unknown;Whiterock Gardens, Ballymurphy, Belfast;;54,592104;-5,976034;2: within a small radius of an exact location (e.g. “near the town hall”);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92091401_00;Belfast;United Kingdom ;200;attack;n/a;gunfire;unknown;unknown;unknown;unknown;civilians;unknown;3 men;unknown;no;3: low –there is some reason to believe it is conflict-related, e.g. based on group identities, but no clear statements or evidence;perpetrator unknown, circumstances suggest conflict related event. Thus coded at CR3;"Reuters News, ""Three injured in Belfast bar shooting,"" 14 September 1992";;1992-09-14;1992-09-14;1;unknown;bar in Belfast city centre;;54,598994;-5,929425;3: neighbourhood ;0;0;0;0;0;0;0;;3;0;3;0;0;1 man seriously wounded
BEL92092401_00;Belfast;United Kingdom ;200;assassination/murder;67302;gunfire;UDA/UFF;loyalist;unknown;unknown;xIRA;Catholic;1 man ;40;;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-09-24;1992-09-24;1;unknown;Kilmuir Avenue, Dundonald, Belfast;;54,589129;-5,797318;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92092402_00;Belfast;United Kingdom ;200;attack;n/a;explosives (bomb);IRA;republican;unknown;unknown;civilians;unknown;unknown;unknown;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"Lloyd´s Information Casualty Report, "" Political and Civil Unrest; Northern Ireland,"" 25 September 1992";police;1992-09-24;1992-09-24;1;08:40 p.m.;Northern Ireland Forensic Laboratory, Newtownbreda, south Belfast;;54,54736;-5,919608;3: neighbourhood ;0;0;0;0;0;0;0;;25;0;25;0;0;victims suffered minor injuries
BEL92092701_00;Belfast;United Kingdom ;200;assassination/murder;66705;gunfire;UDA/UFF;loyalist;unknown;unknown;civilians;Catholic;1 man ;18;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-09-27;1992-09-27;1;unknown;North Queen Street, New Lodge, Belfast;;54,612672;-5,92637;3: neighbourhood ;0;1;0;0;1;1;1;1 man;0;0;0;0;0;
